order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit,is_returned,order_month,order_year
O00000,2024-01-31,C0125,P1086,Online,Online,2,80.63,0.05,153.2,69.87,20.44399999999998,0,2024-01,2024
O00001,2024-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0,120.11,1691.9499999999998,0,2024-09,2024
O00002,2023-08-29,C0653,P0659,Online,Online,2,218.6,0.1,393.48,173.17,81.77400000000002,0,2023-08,2023
O00003,2024-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,65.86,10.136000000000003,0,2024-05,2024
O00004,2024-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,174.83,136.08,0,2024-07,2024
O00005,2024-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,7.9,6.0895,0,2024-12,2024
O00006,2023-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24,185.92,89.40000000000003,0,2023-09,2023
O00007,2023-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,94.08,55.983999999999995,0,2023-09,2023
O00008,2024-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,173.04,45.39100000000003,0,2024-03,2024
O00009,2023-12-02,C0174,P0183,Online,Online,3,304.66,0.0,913.98,181.16,370.5000000000001,0,2023-12,2023
O00010,2023-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,46.09,10.169999999999998,0,2023-05,2023
O00011,2024-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,196.57,55.328000000000024,0,2024-04,2024
O00012,2024-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55,190.14,152.41000000000003,0,2024-11,2024
O00013,2024-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,99.94,42.68800000000002,0,2024-10,2024
O00014,2024-11-18,C0228,P0530,Online,Online,2,274.32,0.0,548.64,147.34,253.95999999999998,1,2024-11,2024
O00015,2024-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16,65.43,73.29999999999998,0,2024-05,2024
O00016,2023-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92,123.63,117.28999999999999,1,2023-07,2023
O00017,2025-01-19,C0604,P1096,Online,Online,1,214.66,0.2,171.73,109.25,84.328,0,2025-01,2025
